2025-06-10 15:46:42 status half-installed libpython3.13-stdlib:amd64 3.13.2-1
2025-06-10 15:46:42 status unpacked libpython3.13-stdlib:amd64 3.13.3-2
2025-06-10 15:46:42 upgrade python3-venv:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:42 status half-configured python3-venv:amd64 3.13.1-2
2025-06-10 15:46:42 status unpacked python3-venv:amd64 3.13.1-2
2025-06-10 15:46:42 status half-installed python3-venv:amd64 3.13.1-2
2025-06-10 15:46:42 status unpacked python3-venv:amd64 3.13.3-1
2025-06-10 15:46:42 upgrade libpython3-dev:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:42 status half-configured libpython3-dev:amd64 3.13.1-2
2025-06-10 15:46:42 status unpacked libpython3-dev:amd64 3.13.1-2
2025-06-10 15:46:42 status half-installed libpython3-dev:amd64 3.13.1-2
2025-06-10 15:46:42 status unpacked libpython3-dev:amd64 3.13.3-1
2025-06-10 15:46:42 upgrade python3-dev:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:42 status half-configured python3-dev:amd64 3.13.1-2
2025-06-10 15:46:42 status unpacked python3-dev:amd64 3.13.1-2
2025-06-10 15:46:42 status half-installed python3-dev:amd64 3.13.1-2
2025-06-10 15:46:43 status unpacked python3-dev:amd64 3.13.3-1
2025-06-10 15:46:43 startup packages configure
2025-06-10 15:46:43 configure libpython3.13-minimal:amd64 3.13.3-2 <none>
2025-06-10 15:46:43 status unpacked libpython3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:43 status half-configured libpython3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:43 status installed libpython3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:43 configure python3.13-minimal:amd64 3.13.3-2 <none>
2025-06-10 15:46:43 status unpacked python3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:43 status half-configured python3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:44 status installed python3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:44 startup archives unpack
2025-06-10 15:46:44 upgrade python3-minimal:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:44 status half-configured python3-minimal:amd64 3.13.1-2
2025-06-10 15:46:44 status unpacked python3-minimal:amd64 3.13.1-2
2025-06-10 15:46:44 status half-installed python3-minimal:amd64 3.13.1-2
2025-06-10 15:46:44 status unpacked python3-minimal:amd64 3.13.3-1
2025-06-10 15:46:44 startup packages configure
2025-06-10 15:46:44 configure python3-minimal:amd64 3.13.3-1 <none>
2025-06-10 15:46:44 status unpacked python3-minimal:amd64 3.13.3-1
2025-06-10 15:46:44 status half-configured python3-minimal:amd64 3.13.3-1
2025-06-10 15:46:44 status installed python3-minimal:amd64 3.13.3-1
2025-06-10 15:46:44 startup archives unpack
2025-06-10 15:46:45 upgrade python3:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:45 status half-configured python3:amd64 3.13.1-2
2025-06-10 15:46:45 status unpacked python3:amd64 3.13.1-2
2025-06-10 15:46:45 status half-installed python3:amd64 3.13.1-2
2025-06-10 15:46:45 status unpacked python3:amd64 3.13.3-1
2025-06-10 15:46:45 upgrade libpython3-stdlib:amd64 3.13.1-2 3.13.3-1
2025-06-10 15:46:45 status half-configured libpython3-stdlib:amd64 3.13.1-2
2025-06-10 15:46:45 status unpacked libpython3-stdlib:amd64 3.13.1-2
2025-06-10 15:46:45 status half-installed libpython3-stdlib:amd64 3.13.1-2
2025-06-10 15:46:45 status unpacked libpython3-stdlib:amd64 3.13.3-1
2025-06-10 15:46:45 install libmariadb-dev:amd64 <none> 1:11.8.1-4
2025-06-10 15:46:45 status half-installed libmariadb-dev:amd64 1:11.8.1-4
2025-06-10 15:46:45 status unpacked libmariadb-dev:amd64 1:11.8.1-4
2025-06-10 15:46:45 install libmariadb-dev-compat:amd64 <none> 1:11.8.1-4
2025-06-10 15:46:45 status half-installed libmariadb-dev-compat:amd64 1:11.8.1-4
2025-06-10 15:46:45 status unpacked libmariadb-dev-compat:amd64 1:11.8.1-4
2025-06-10 15:46:45 install default-libmysqlclient-dev:amd64 <none> 1.1.1
2025-06-10 15:46:45 status half-installed default-libmysqlclient-dev:amd64 1.1.1
2025-06-10 15:46:45 status unpacked default-libmysqlclient-dev:amd64 1.1.1
2025-06-10 15:46:46 upgrade libsnappy1v5:amd64 1.2.1-1+b1 1.2.2-1
2025-06-10 15:46:46 status half-configured libsnappy1v5:amd64 1.2.1-1+b1
2025-06-10 15:46:46 status unpacked libsnappy1v5:amd64 1.2.1-1+b1
2025-06-10 15:46:46 status half-installed libsnappy1v5:amd64 1.2.1-1+b1
2025-06-10 15:46:46 status unpacked libsnappy1v5:amd64 1.2.2-1
2025-06-10 15:46:46 upgrade mariadb-plugin-provider-bzip2:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:46 status half-configured mariadb-plugin-provider-bzip2:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-bzip2:amd64 1:11.4.5-1
2025-06-10 15:46:46 status half-installed mariadb-plugin-provider-bzip2:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-bzip2:amd64 1:11.8.1-4
2025-06-10 15:46:46 upgrade mariadb-plugin-provider-lz4:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:46 status half-configured mariadb-plugin-provider-lz4:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lz4:amd64 1:11.4.5-1
2025-06-10 15:46:46 status half-installed mariadb-plugin-provider-lz4:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lz4:amd64 1:11.8.1-4
2025-06-10 15:46:46 upgrade mariadb-plugin-provider-lzma:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:46 status half-configured mariadb-plugin-provider-lzma:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lzma:amd64 1:11.4.5-1
2025-06-10 15:46:46 status half-installed mariadb-plugin-provider-lzma:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lzma:amd64 1:11.8.1-4
2025-06-10 15:46:46 upgrade mariadb-plugin-provider-lzo:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:46 status half-configured mariadb-plugin-provider-lzo:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lzo:amd64 1:11.4.5-1
2025-06-10 15:46:46 status half-installed mariadb-plugin-provider-lzo:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-lzo:amd64 1:11.8.1-4
2025-06-10 15:46:46 upgrade mariadb-plugin-provider-snappy:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:46 status half-configured mariadb-plugin-provider-snappy:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-snappy:amd64 1:11.4.5-1
2025-06-10 15:46:46 status half-installed mariadb-plugin-provider-snappy:amd64 1:11.4.5-1
2025-06-10 15:46:46 status unpacked mariadb-plugin-provider-snappy:amd64 1:11.8.1-4
2025-06-10 15:46:46 upgrade python3.13-tk:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:46 status half-configured python3.13-tk:amd64 3.13.2-1
2025-06-10 15:46:46 status unpacked python3.13-tk:amd64 3.13.2-1
2025-06-10 15:46:46 status half-installed python3.13-tk:amd64 3.13.2-1
2025-06-10 15:46:47 status unpacked python3.13-tk:amd64 3.13.3-2
2025-06-10 15:46:47 startup packages configure
2025-06-10 15:46:47 configure python3.13-tk:amd64 3.13.3-2 <none>
2025-06-10 15:46:47 status unpacked python3.13-tk:amd64 3.13.3-2
2025-06-10 15:46:47 status half-configured python3.13-tk:amd64 3.13.3-2
2025-06-10 15:46:47 status installed python3.13-tk:amd64 3.13.3-2
2025-06-10 15:46:47 configure libsnappy1v5:amd64 1.2.2-1 <none>
2025-06-10 15:46:47 status unpacked libsnappy1v5:amd64 1.2.2-1
2025-06-10 15:46:47 status half-configured libsnappy1v5:amd64 1.2.2-1
2025-06-10 15:46:47 status installed libsnappy1v5:amd64 1.2.2-1
2025-06-10 15:46:47 configure libmariadb3:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:47 status unpacked libmariadb3:amd64 1:11.8.1-4
2025-06-10 15:46:47 status half-configured libmariadb3:amd64 1:11.8.1-4
2025-06-10 15:46:47 status installed libmariadb3:amd64 1:11.8.1-4
2025-06-10 15:46:47 configure libmariadb-dev:amd64 1:11.8.1-4 <none>
2025-06-10 15:46:47 status unpacked libmariadb-dev:amd64 1:11.8.1-4
2025-06-10 15:46:47 status half-configured libmariadb-dev:amd64 1:11.8.1-4
2025-06-10 15:46:47 status installed libmariadb-dev:amd64 1:11.8.1-4
